Employee_No,Employee_Code,Name,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Basic Salary_0
347,6,Myrl Bechtelar MD,Male,1,Married,24,1993-12-08,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Buddhist,Driver,1965,28500.0
348,33,Francis Mraz,Male,1,Married,24,1995-03-14,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Buddhist,Driver,1973,27200.0
349,53,Mr Emmet Blick Jr,Male,1,Married,23,1988-01-27,2021-06-28,Inactive,2021-06-28,\N,Staff,Permanant,Buddhist,Account Clerk,1974,37551.5
351,77,Mr Nelson Braun PhD,Female,4,Married,40,1999-10-01,2022-01-31,Inactive,2022-01-31,\N,Staff,Permanant,Catholic,Purchasing Officer,1974,38600.0
352,88,Maximillian Hand,Male,1,Married,7,2001-01-26,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Buddhist,Store Keeper,1980,25350.0
353,155,Zena Nicolas,Male,1,Married,22,2003-09-29,0000-00-00,Inactive,2020-08-31,\N,Staff,Permanant,Buddhist,Technical Officer,1962,28179.5
354,181,Coralie Bernhard,Male,1,Married,22,2003-11-10,0000-00-00,Active,0000-00-00,945,Staff,Permanant,Buddhist,Technical Officer,1969,32000.0
355,192,Josh Roob,Male,1,Married,126,2004-02-16,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Buddhist,Project Coordinator ,1981,43300.0
356,283,Ernest Upton,Female,1,Single,23,2005-06-01,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Buddhist,Account Clerk,1974,31500.0
359,529,Sydney Oberbrunner,Male,1,Married,41,2006-07-01,2022-01-31,Inactive,2022-01-31,\N,Staff,Permanant,Buddhist,Electrician,1967,25250.0
360,573,Angeline Yundt,Male,1,Married,42,2006-08-29,2021-05-05,Inactive,2021-05-05,\N,Management,Permanant,Buddhist,Transport Officer,1976,10790.5
361,596,Prof Karlie Bauch III,Male,3,Single,7,2006-11-01,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Hindu,Store Keeper,1986,26450.0
363,691,Leonel Romaguera,Male,1,Married,24,2007-05-25,2021-05-23,Inactive,2021-05-23,\N,Staff,Permanant,Buddhist,Driver,1975,17298.0
365,759,Sidney Macejkovic,Male,1,Married,43,2007-11-12,0000-00-00,Inactive,2020-09-10,\N,Staff,Permanant,Buddhist,Operator - JCB,1984,28464.5
366,900,Prof Jerod Pfeffer,Male,1,Married,44,2008-11-15,0000-00-00,Inactive,2020-05-21,\N,Staff,Permanant,Buddhist,Driver - Boom,1973,31211.5
371,1084,Ignatius Volkman DDS,Female,1,Single,45,2010-08-02,2021-04-30,Inactive,2021-04-30,\N,Management,Contarct Basis,Buddhist,Construction Manager,1963,6240.0
372,1086,Doyle Hettinger,Male,1,Married,46,2010-08-05,0000-00-00,Inactive,2020-09-27,\N,Staff,Contarct Basis,Buddhist,Operator - Crane,1981,25750.5
373,1093,Izaiah Berge,Male,1,Married,35,2010-10-26,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1990,17450.0
376,1154,Prof Arden Jacobs III,Male,1,Married,7,2011-03-24,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1961,24800.0
377,1275,Shaylee Schroeder III,Male,5,Single,48,2011-11-03,0000-00-00,Active,0000-00-00,624,Staff,Contarct Basis,Muslim,Draughtsman,1982,23250.0
